rr	rg	gg	date
58	104	73	2018-08-10
340	802	700	2018-08-21
1051	2145	2573	2018-09-03
545	1271	1507	2018-09-15
293	693	882	2018-09-27
435	1419	1756	2018-10-09
312	1014	1448	2018-10-21
336	1118	1618	2018-11-02
113	429	696	2018-11-14
446	1609	2846	2018-11-26
426	2124	3846	2018-12-08
402	1842	3399	2018-12-20
353	1538	2693	2019-01-01
475	2532	4430	2019-01-13
336	1854	3259	2019-01-25
249	1821	2153	2019-02-06
239	1419	2272	2019-02-18
123	836	1461	2019-03-04
190	1178	1998	2019-03-16
188	1223	2235	2019-03-27
